run_id,study_id,config_id,seed,quality_model,agent_count,steps,converged,convergence_reason,vote_count,retract_count,unique_voters,active_agents,total_actions,mean_actions_per_agent,tab_foryou_pct,tab_notification_pct,tab_ballot_pct,root_count,remix_count,merge_count,proposal_count,total_subscriptions,subscription_gini,top_proposal_share,hhi,cluster_count,label_entropy,ballot_size,ballot_label_diversity,champion_count,final_root_count,final_remix_count,final_merge_count,unique_authors,elapsed_days,selection_efficiency,top_1_mean_quality,top_1_selection_efficiency,suboptimality_gap_top1,top_3_mean_quality,top_3_selection_efficiency,top_7_mean_quality,top_7_selection_efficiency,top_k_mean_quality,top_k_selection_efficiency,dag_mean_depth,dag_max_depth,siphon_migration_count,siphon_notification_evaluations,late_entrant_in_top5
carpentras_ideal_theoretical_n50_s137,carpentras,ideal_theoretical_n50,137,attention,50,43,False,target_duration_reached_30d,2146,0,50,50,2712,54.24,100.0,0.0,0.0,12,417,140,569,2309,0.4266,0.0082,0.0029,23,3.7019,4,4,23,12,417,140,50,30.6,0.1035,3.385,0.2909,8.2502,4.7668,0.4097,5.948,0.5112,5.948,0.5112,12.15,22,0,0,1
carpentras_ideal_theoretical_n50_s42,carpentras,ideal_theoretical_n50,42,attention,50,21,False,target_duration_reached_31d,1056,0,50,50,1338,26.76,100.0,0.0,0.0,12,211,62,285,1121,0.4486,0.0178,0.0063,21,3.441,2,2,21,12,211,62,50,31.6,0.2196,2.7523,0.3772,4.5436,2.0597,0.2823,2.2851,0.3132,2.2851,0.3132,7.24,14,0,0,0
carpentras_ideal_theoretical_n50_s99,carpentras,ideal_theoretical_n50,99,attention,50,39,False,target_duration_reached_30d,2031,0,50,50,2516,50.32,100.0,0.0,0.0,12,365,111,488,2115,0.4335,0.0123,0.0035,21,3.7687,3,3,21,12,365,111,50,30.7,0.1151,1.5517,0.1625,7.9954,4.6845,0.4907,4.9022,0.5135,4.9022,0.5135,9.41,18,0,0,0
dual_window_full_platform_n100_s137,dual_window,full_platform_n100,137,attention,100,39,False,target_duration_reached_30d,837,0,100,100,1555,15.55,45.3,35.1,19.6,13,191,58,261,1133,0.484,0.0406,0.0099,20,3.296,1,1,20,13,191,57,93,30.6,0.7731,3.6468,0.7731,1.0702,3.8744,0.8214,3.5066,0.7434,3.5066,0.7434,3.59,7,459,656,4
dual_window_full_platform_n100_s42,dual_window,full_platform_n100,42,attention,100,46,False,target_duration_reached_30d,1097,0,100,100,1895,18.95,53.9,28.5,17.7,12,245,85,342,1437,0.4656,0.0383,0.0073,22,3.575,1,1,22,12,245,85,96,30.5,0.8301,4.1015,0.8301,0.8397,3.66,0.7407,3.6106,0.7307,3.6106,0.7307,8.22,15,459,616,3
dual_window_full_platform_n100_s99,dual_window,full_platform_n100,99,attention,100,41,False,target_duration_reached_30d,897,0,100,100,1624,16.24,47.4,33.5,19.1,12,215,65,292,1204,0.442,0.039,0.0076,18,3.5153,1,1,18,12,215,65,95,30.8,0.8293,3.8865,0.8293,0.7999,3.6072,0.7697,2.8018,0.5978,2.8018,0.5978,7.46,15,438,651,3
dual_window_full_platform_n50_s137,dual_window,full_platform_n50,137,attention,50,44,False,target_duration_reached_30d,597,0,50,50,906,18.12,67.1,23.4,9.6,13,109,34,156,719,0.4333,0.032,0.0116,21,3.3188,3,3,21,13,109,34,44,30.6,0.3472,7.7847,0.8651,1.2141,6.4262,0.7141,5.0952,0.5662,5.0952,0.5662,10.43,22,156,237,2
dual_window_full_platform_n50_s42,dual_window,full_platform_n50,42,attention,50,36,False,target_duration_reached_30d,440,0,50,50,719,14.38,53.8,27.8,18.4,8,93,27,128,549,0.3909,0.0419,0.0126,19,2.6867,1,1,19,8,93,27,47,30.5,0.8521,5.0721,0.8521,0.8801,4.1564,0.6983,4.0125,0.6741,4.0125,0.6741,6.01,12,154,239,3
dual_window_full_platform_n50_s99,dual_window,full_platform_n50,99,attention,50,43,False,target_duration_reached_31d,556,0,50,50,890,17.8,62.0,24.0,13.9,12,111,44,167,723,0.4361,0.0526,0.0127,21,3.7208,2,2,21,12,111,44,48,31.5,0.4701,7.7778,0.8914,0.9477,7.5646,0.8669,5.496,0.6299,5.496,0.6299,8.43,17,170,240,3
dual_window_neither_n100_s137,dual_window,neither_n100,137,attention,100,38,False,target_duration_reached_30d,980,0,100,100,1565,15.65,56.2,24.2,19.6,12,241,41,294,1276,0.4652,0.0227,0.0065,18,3.1676,7,7,18,12,241,41,92,30.8,0.5025,4.6127,0.7205,1.7892,4.1814,0.6531,3.1356,0.4898,3.1356,0.4898,5.27,11,294,431,0
dual_window_neither_n100_s42,dual_window,neither_n100,42,attention,100,37,False,target_duration_reached_30d,941,0,100,100,1527,15.27,54.2,25.6,20.2,12,205,59,276,1220,0.4374,0.0197,0.0064,23,3.5502,7,7,23,12,205,59,94,30.7,0.4464,3.2268,0.5529,2.6094,2.9708,0.509,3.0976,0.5308,3.0976,0.5308,4.36,10,313,451,1
dual_window_neither_n100_s99,dual_window,neither_n100,99,attention,100,40,False,target_duration_reached_31d,950,0,100,100,1611,16.11,47.6,24.5,27.9,13,241,80,334,1293,0.4598,0.0255,0.0063,22,3.7296,7,7,22,13,241,80,96,31.6,0.5014,4.1745,0.7935,1.0863,3.3756,0.6417,2.6379,0.5014,2.6379,0.5014,4.67,11,330,464,0
dual_window_neither_n50_s137,dual_window,neither_n50,137,attention,50,40,False,target_duration_reached_30d,453,0,50,50,788,15.76,46.6,23.9,29.5,12,133,30,175,616,0.4575,0.0276,0.0108,22,3.3446,7,7,22,12,133,30,47,30.8,0.6141,5.2287,0.7755,1.5139,4.6092,0.6836,3.8324,0.5684,3.8324,0.5684,5.56,13,163,223,1
